no,jenis_ikan,nama_ikan,lokasi,total_kg
41,Pelagis Besar,Tenggiri Papan,Panyaungan,178
42,Pelagis Kecil / Semi-Demersal,Tetengkek,Panyaungan,930
43,Pelagis Besar,Tongkol,Panyaungan,800
44,Pelagis Besar,Tongkol Abu-abu,Panyaungan,706
45,Pelagis Besar,Tongkol Banyar,Panyaungan,1643
46,Pelagis Besar,Tongkol Komo,Panyaungan,1348
47,Pelagis Besar,Tongkol Lisong,Panyaungan,1364
48,Pelagis Besar,Tuna Mata Besar,Panyaungan,22
49,Pelagis Besar,Tuna Sirip Kuning,Panyaungan,1501
JUMLAH,,,Panyaungan,69105
1,Demersal,Ayam-ayam,Situregen,1112
2,Pelagis Besar,Bawal Laut,Situregen,162
3,Pelagis Besar,Cakalang,Situregen,6180
4,Pelagis Kecil,Cendro,Situregen,1207
5,Karang (Reef-Associated),Ekor Kuning,Situregen,1931
6,Demersal,Gabus Laut,Situregen,918
7,Demersal,Gerot-gerot,Situregen,2869
8,Demersal,Golok-golok,Situregen,885
9,Demersal,Gulamah,Situregen,2135
10,Demersal / Karang,Kakap,Situregen,223
11,Demersal / Karang,Kakap Batu,Situregen,120
12,Demersal / Karang,Kakap Jenaha,Situregen,259
13,Demersal / Karang,Kakap Merah,Situregen,308
14,Demersal,Kapas-kapas,Situregen,2210
15,Pelagis Kecil,Kembung Lelaki,Situregen,2087
16,Pelagis Kecil,Kembung Perempuan,Situregen,1932
17,Karang (Reef-Associated),Kerapu,Situregen,288
18,Demersal,Kuniran,Situregen,1357
19,Demersal,Kurisi,Situregen,1752
20,Pelagis Kecil / Semi-Demersal,Kuro,Situregen,4045
21,Pelagis Besar,Kuwe,Situregen,1438
22,Pelagis Besar,Kuwe Gerong,Situregen,294
23,Pelagis Kecil,Layang,Situregen,708
24,Pelagis Besar,Layaran,Situregen,172
25,Demersal (Benthopelagis),Layur,Situregen,12525
26,Pelagis Besar,Lemadang,Situregen,4290
27,Karang (Reef-Associated),Lencam,Situregen,172
28,Demersal,Manyung,Situregen,439
29,Pelagis Besar,Marlin,Situregen,335
30,Pelagis Besar,Nyunglas,Situregen,126
31,Demersal (Elasmobranch),Pari,Situregen,494
32,Pelagis Besar,Pedang,Situregen,103
33,Pelagis Kecil / Semi-Demersal,Peperek,Situregen,2326
34,Karang (Reef-Associated),Pinjalo,Situregen,163
35,Pelagis Kecil,Pisang-pisang,Situregen,7028
36,Demersal (Flatfish),Sebelah,Situregen,715
37,Pelagis Kecil,Selar Bentong,Situregen,4522
38,Pelagis Kecil,Selar Kuning,Situregen,61
39,Karang (Reef-Associated),Swanggi,Situregen,661
40,Pelagis Besar,Tenggiri,Situregen,153
41,Pelagis Besar,Tenggiri Papan,Situregen,200
42,Pelagis Kecil / Semi-Demersal,Tetengkek,Situregen,1056
43,Pelagis Besar,Tongkol,Situregen,908
44,Pelagis Besar,Tongkol Abu-abu,Situregen,801
45,Pelagis Besar,Tongkol Banyar,Situregen,1865
46,Pelagis Besar,Tongkol Komo,Situregen,1530
47,Pelagis Besar,Tongkol Lisong,Situregen,1548
48,Pelagis Besar,Tuna Mata Besar,Situregen,25
49,Pelagis Besar,Tuna Sirip Kuning,Situregen,1705
JUMLAH,,,Situregen,78343
1,Demersal,Ayam-ayam,Bayah,16091
2,Pelagis Besar,Bawal Laut,Bayah,2297
3,Pelagis Besar,Cakalang,Bayah,37946
4,Pelagis Kecil,Cendro,Bayah,18083
5,Karang (Reef-Associated),Ekor Kuning,Bayah,28756
6,Demersal,Gabus Laut,Bayah,13965
7,Demersal,Gerot-gerot,Bayah,42992
8,Demersal,Golok-golok,Bayah,13320
9,Demersal,Gulamah,Bayah,32288
10,Demersal / Karang,Kakap,Bayah,3680
11,Demersal / Karang,Kakap Batu,Bayah,1539
12,Demersal / Karang,Kakap Jenaha,Bayah,4287
13,Demersal / Karang,Kakap Merah,Bayah,4640
14,Demersal,Kapas-kapas,Bayah,36423
15,Pelagis Kecil,Kembung Lelaki,Bayah,30080
16,Pelagis Kecil,Kembung Perempuan,Bayah,28131
17,Karang (Reef-Associated),Kerapu,Bayah,4349
18,Demersal,Kuniran,Bayah,20510
19,Demersal,Kurisi,Bayah,26442
20,Pelagis Kecil / Semi-Demersal,Kuro,Bayah,61149
21,Pelagis Besar,Kuwe,Bayah,20994
22,Pelagis Besar,Kuwe Gerong,Bayah,4289
23,Pelagis Kecil,Layang,Bayah,4988
24,Pelagis Besar,Layaran,Bayah,1016
25,Demersal (Benthopelagis),Layur,Bayah,160083
26,Pelagis Besar,Lemadang,Bayah,28098
27,Karang (Reef-Associated),Lencam,Bayah,2588
28,Demersal,Manyung,Bayah,7438
