jenis_ikan,nama_ikan,tahun,bulan,total_kg_x,tanggal,no,lokasi,total_kg_y,jenis_alat_tangkap
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Citarate,413.0,Payang
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Cibareno,620.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Cibareno,620.0,Payang
Pelagis Kecil,Selar,2021,6,5250,2021-01-06,,Unknown,0.0,Pukat Cicin Grup
Pelagis Kecil,Selar,2021,6,5250,2021-01-06,,Unknown,0.0,Payang
Pelagis Kecil,Laosan,2021,6,4000,2021-01-06,,Unknown,0.0,Unknown
Pelagis Kecil,Kapas kapas,2021,6,1675,2021-01-06,,Unknown,0.0,Unknown
Demersal,Kuniran/biji nangka,2021,6,325,2021-01-06,,Unknown,0.0,Unknown
Pelagis Besar,Alu Alu/baracuda,2021,6,346,2021-01-06,,Unknown,0.0,Unknown
Karang (Reef-Associated),Ayam ayam,2021,6,900,2021-01-06,,Unknown,0.0,Unknown
Pelagis Besar,Bawal laut,2021,6,100,2021-01-06,,Unknown,0.0,Unknown
Pelagis Kecil,Bentong,2021,6,4000,2021-01-06,,Unknown,0.0,Unknown
Demersal,Kurisi,2021,6,675,2021-01-06,19,Binuangeun,35418.0,Unknown
Demersal,Kurisi,2021,6,675,2021-01-06,19,Tanjungpanto,514.0,Unknown
Demersal,Kurisi,2021,6,675,2021-01-06,19,Sukahujan,1143.0,Unknown
Demersal,Kurisi,2021,6,675,2021-01-06,19,Cipunaga,1904.0,Unknown
Demersal,Kurisi,2021,6,675,2021-01-06,19,Panyaungan,1543.0,Unknown
Demersal,Kurisi,2021,6,675,2021-01-06,19,Situregen,1752.0,Unknown
Demersal,Kurisi,2021,6,675,2021-01-06,19,Bayah,26442.0,Unknown
Demersal,Kurisi,2021,6,675,2021-01-06,19,Pulomanuk,3045.0,Unknown
Demersal,Kurisi,2021,6,675,2021-01-06,19,Sawarna,1903.0,Unknown
Demersal,Kurisi,2021,6,675,2021-01-06,19,Citarate,1065.0,Unknown
Demersal,Kurisi,2021,6,675,2021-01-06,19,Cibareno,1598.0,Unknown
Demersal,Cucut,2021,6,89,2021-01-06,,Unknown,0.0,Unknown
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2021,6,6800,2021-01-06,,Unknown,0.0,Unknown
Demersal,Golok golok,2021,6,850,2021-01-06,,Unknown,0.0,Unknown
Pelagis Besar,Cakalang,2021,6,105750,2021-01-06,3,Binuangeun,1890595.0,Unknown
Pelagis Besar,Cakalang,2021,6,105750,2021-01-06,3,Tanjungpanto,1826.0,Unknown
Pelagis Besar,Cakalang,2021,6,105750,2021-01-06,3,Sukahujan,4074.0,Unknown
Pelagis Besar,Cakalang,2021,6,105750,2021-01-06,3,Cipunaga,6742.0,Unknown
Pelagis Besar,Cakalang,2021,6,105750,2021-01-06,3,Panyaungan,5478.0,Unknown
Pelagis Besar,Cakalang,2021,6,105750,2021-01-06,3,Situregen,6180.0,Unknown
Pelagis Besar,Cakalang,2021,6,105750,2021-01-06,3,Bayah,37946.0,Unknown
Pelagis Besar,Cakalang,2021,6,105750,2021-01-06,3,Pulomanuk,10674.0,Unknown
Pelagis Besar,Cakalang,2021,6,105750,2021-01-06,3,Sawarna,6742.0,Unknown
Pelagis Besar,Cakalang,2021,6,105750,2021-01-06,3,Citarate,3708.0,Unknown
Pelagis Besar,Cakalang,2021,6,105750,2021-01-06,3,Cibareno,5562.0,Unknown
Pelagis Besar,ikan pedang,2021,6,750,2021-01-06,,Unknown,0.0,Unknown
Demersal,Ikan sebelah,2021,6,200,2021-01-06,,Unknown,0.0,Unknown
Pelagis Kecil,Japuh,2021,6,232,2021-01-06,,Unknown,0.0,Unknown
Karang (Reef-Associated),Jenaha,2021,6,250,2021-01-06,,Unknown,0.0,Unknown
Karang (Reef-Associated),Kakap Merah,2021,6,1450,2021-01-06,,Unknown,0.0,Unknown
Pelagis Kecil,Kembung,2021,6,3000,2021-01-06,,Unknown,0.0,Pukat Cicin Grup
Pelagis Kecil,Kembung,2021,6,3000,2021-01-06,,Unknown,0.0,Payang
Karang (Reef-Associated),Kerapu,2021,6,500,2021-01-06,17,Binuangeun,5807.0,Unknown
Karang (Reef-Associated),Kerapu,2021,6,500,2021-01-06,17,Tanjungpanto,84.0,Unknown
Karang (Reef-Associated),Kerapu,2021,6,500,2021-01-06,17,Sukahujan,188.0,Unknown
Karang (Reef-Associated),Kerapu,2021,6,500,2021-01-06,17,Cipunaga,313.0,Unknown
Karang (Reef-Associated),Kerapu,2021,6,500,2021-01-06,17,Panyaungan,253.0,Unknown
Karang (Reef-Associated),Kerapu,2021,6,500,2021-01-06,17,Situregen,288.0,Unknown
Karang (Reef-Associated),Kerapu,2021,6,500,2021-01-06,17,Bayah,4349.0,Unknown
Karang (Reef-Associated),Kerapu,2021,6,500,2021-01-06,17,Pulomanuk,500.0,Unknown
Karang (Reef-Associated),Kerapu,2021,6,500,2021-01-06,17,Sawarna,313.0,Unknown
Karang (Reef-Associated),Kerapu,2021,6,500,2021-01-06,17,Citarate,175.0,Unknown
Karang (Reef-Associated),Kerapu,2021,6,500,2021-01-06,17,Cibareno,263.0,Unknown
Karang (Reef-Associated),kuwe,2021,6,3125,2021-01-06,,Unknown,0.0,Unknown
Demersal,Gulamah/Tigawaja/Samgeh,2021,6,1000,2021-01-06,,Unknown,0.0,Unknown
Demersal,Pari,2021,7,425,2021-01-07,,Unknown,0.0,Unknown
Pelagis Besar,Marlin,2021,7,26250,2021-01-07,29,Binuangeun,15870.0,Unknown
Pelagis Besar,Marlin,2021,7,26250,2021-01-07,29,Tanjungpanto,98.0,Unknown
Pelagis Besar,Marlin,2021,7,26250,2021-01-07,29,Sukahujan,219.0,Unknown
Pelagis Besar,Marlin,2021,7,26250,2021-01-07,29,Cipunaga,364.0,Unknown
Pelagis Besar,Marlin,2021,7,26250,2021-01-07,29,Panyaungan,295.0,Unknown
Pelagis Besar,Marlin,2021,7,26250,2021-01-07,29,Situregen,335.0,Unknown
Pelagis Besar,Marlin,2021,7,26250,2021-01-07,29,Bayah,1894.0,Unknown
Pelagis Besar,Marlin,2021,7,26250,2021-01-07,29,Pulomanuk,583.0,Unknown
Pelagis Besar,Marlin,2021,7,26250,2021-01-07,29,Sawarna,364.0,Unknown
Pelagis Besar,Marlin,2021,7,26250,2021-01-07,29,Citarate,204.0,Unknown
