jenis_ikan,nama_ikan,tahun,bulan,total_kg,tanggal
Pelagis Besar,Tuna Mata Besar,2019,6,6560,2019-01-06
Pelagis Kecil,Teri,2019,6,0,2019-01-06
Pelagis Kecil,Layang,2019,6,12352,2019-01-06
Demersal,Tambakan,2019,6,560,2019-01-06
Pelagis Kecil,Laosan,2019,6,448,2019-01-06
Pelagis Besar,ikan pedang,2019,6,1440,2019-01-06
Demersal,Kuniran/biji nangka,2019,6,416,2019-01-06
Karang (Reef-Associated),Ayam ayam,2019,6,704,2019-01-06
Pelagis Besar,Bawal laut,2019,6,1984,2019-01-06
Pelagis Kecil,Bentong,2019,6,1152,2019-01-06
Pelagis Besar,Cakalang,2019,6,133536,2019-01-06
Demersal,Cucut,2019,6,384,2019-01-06
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2019,6,2144,2019-01-06
Demersal,Golok golok,2019,6,1088,2019-01-06
Demersal,Gulamah/Tigawaja/Samgeh,2019,6,1728,2019-01-06
Pelagis Besar,Alu Alu/baracuda,2019,6,320,2019-01-06
Demersal,Ikan sebelah,2019,6,256,2019-01-06
Pelagis Kecil,Japuh,2019,6,800,2019-01-06
Karang (Reef-Associated),Jenaha,2019,6,288,2019-01-06
Karang (Reef-Associated),Kakap Merah,2019,6,1600,2019-01-06
Pelagis Kecil,Kapas kapas,2019,6,1472,2019-01-06
Pelagis Kecil,Kembung,2019,6,10304,2019-01-06
Karang (Reef-Associated),Kerapu,2019,6,352,2019-01-06
Karang (Reef-Associated),kuwe,2019,6,6512,2019-01-06
Demersal,Kurisi,2019,6,9216,2019-01-06
Pelagis Kecil,Peperek,2019,7,2400,2019-01-07
Demersal,Pari,2019,7,2070,2019-01-07
Pelagis Kecil,Layur,2019,7,31560,2019-01-07
Demersal,Manyung,2019,7,1290,2019-01-07
Pelagis Besar,Lemadang,2019,7,18210,2019-01-07
Pelagis Besar,Swanggi,2019,7,1038,2019-01-07
Pelagis Besar,Marlin,2019,7,19200,2019-01-07
Pelagis Kecil,Selar,2019,7,1590,2019-01-07
Pelagis Besar,Tongkol,2019,7,112500,2019-01-07
Pelagis Kecil,Tembang,2019,7,1530,2019-01-07
Pelagis Besar,Tenggiri,2019,7,5940,2019-01-07
Pelagis Kecil,Tetengkek,2019,7,1650,2019-01-07
Pelagis Besar,Tuna Sirip Kuning,2019,7,131394,2019-01-07
Pelagis Besar,Tuna Mata Besar,2019,7,22500,2019-01-07
Pelagis Kecil,Teri,2019,7,0,2019-01-07
jumlah,,2019,7,6645175,2019-01-07
Pelagis Besar,layaran,2019,7,15690,2019-01-07
Demersal,Tambakan,2019,7,0,2019-01-07
Pelagis Kecil,Layang,2019,7,32460,2019-01-07
Pelagis Kecil,Laosan,2019,7,9360,2019-01-07
Pelagis Besar,Alu Alu/baracuda,2019,7,875,2019-01-07
Demersal,Kurisi,2019,7,1896,2019-01-07
Karang (Reef-Associated),Ayam ayam,2019,7,18515,2019-01-07
Pelagis Besar,Bawal laut,2019,7,1560,2019-01-07
Pelagis Kecil,Bentong,2019,7,450,2019-01-07
Pelagis Besar,Cakalang,2019,7,210690,2019-01-07
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2019,7,4164,2019-01-07
Demersal,Golok golok,2019,7,1365,2019-01-07
Demersal,Gulamah/Tigawaja/Samgeh,2019,7,2370,2019-01-07
Pelagis Besar,ikan pedang,2019,7,3000,2019-01-07
Demersal,Cucut,2019,7,240,2019-01-07
Pelagis Kecil,Japuh,2019,7,600,2019-01-07
Demersal,Ikan sebelah,2019,7,831,2019-01-07
Karang (Reef-Associated),kuwe,2019,7,4950,2019-01-07
Karang (Reef-Associated),Kerapu,2019,7,720,2019-01-07
Pelagis Kecil,Kembung,2019,7,2220,2019-01-07
Demersal,Kuniran/biji nangka,2019,7,10683,2019-01-07
Karang (Reef-Associated),Kakap Merah,2019,7,2250,2019-01-07
Karang (Reef-Associated),Jenaha,2019,7,870,2019-01-07
Pelagis Kecil,Kapas kapas,2019,7,2550,2019-01-07
Pelagis Besar,Swanggi,2019,8,858,2019-01-08
Pelagis Besar,layaran,2019,8,9600,2019-01-08
Pelagis Kecil,Layur,2019,8,61800,2019-01-08
Pelagis Besar,Lemadang,2019,8,12900,2019-01-08
Demersal,Manyung,2019,8,1170,2019-01-08
Pelagis Besar,Marlin,2019,8,9000,2019-01-08
Demersal,Pari,2019,8,840,2019-01-08
Pelagis Kecil,Peperek,2019,8,2010,2019-01-08
Pelagis Kecil,Selar,2019,8,3450,2019-01-08
Pelagis Kecil,Layang,2019,8,24960,2019-01-08
Pelagis Kecil,Tembang,2019,8,360,2019-01-08
Pelagis Besar,Tenggiri,2019,8,4950,2019-01-08
Pelagis Kecil,Tetengkek,2019,8,684,2019-01-08
Pelagis Besar,Tongkol,2019,8,56148,2019-01-08
Pelagis Besar,Tuna Sirip Kuning,2019,8,111960,2019-01-08
Pelagis Besar,Tuna Mata Besar,2019,8,9000,2019-01-08
Pelagis Kecil,Teri,2019,8,0,2019-01-08
jumlah,,2019,8,547434,2019-01-08
Demersal,Tambakan,2019,8,0,2019-01-08
Pelagis Kecil,Laosan,2019,8,6030,2019-01-08
Pelagis Besar,Alu Alu/baracuda,2019,8,1770,2019-01-08
Demersal,Kuniran/biji nangka,2019,8,1302,2019-01-08
Demersal,Kurisi,2019,8,7956,2019-01-08
Karang (Reef-Associated),Ayam ayam,2019,8,1872,2019-01-08
Pelagis Besar,Bawal laut,2019,8,870,2019-01-08
Pelagis Kecil,Bentong,2019,8,600,2019-01-08
Pelagis Besar,Cakalang,2019,8,183630,2019-01-08
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2019,8,4350,2019-01-08
Demersal,Golok golok,2019,8,990,2019-01-08
Demersal,Gulamah/Tigawaja/Samgeh,2019,8,5685,2019-01-08
Demersal,Cucut,2019,8,300,2019-01-08
Demersal,Ikan sebelah,2019,8,720,2019-01-08
Pelagis Kecil,Japuh,2019,8,600,2019-01-08
Karang (Reef-Associated),Jenaha,2019,8,600,2019-01-08
Karang (Reef-Associated),Kakap Merah,2019,8,1128,2019-01-08
Pelagis Kecil,Kapas kapas,2019,8,6210,2019-01-08
Pelagis Kecil,Kembung,2019,8,1740,2019-01-08
Karang (Reef-Associated),Kerapu,2019,8,591,2019-01-08
Pelagis Besar,ikan pedang,2019,8,3600,2019-01-08
Karang (Reef-Associated),kuwe,2019,8,7200,2019-01-08
Pelagis Kecil,Peperek,2019,9,1590,2019-01-09
Demersal,Pari,2019,9,240,2019-01-09
Pelagis Besar,Marlin,2019,9,15150,2019-01-09
Pelagis Besar,layaran,2019,9,21390,2019-01-09
Pelagis Besar,Lemadang,2019,9,16920,2019-01-09
Pelagis Kecil,Layur,2019,9,54300,2019-01-09
Pelagis Besar,Swanggi,2019,9,900,2019-01-09
Demersal,Manyung,2019,9,810,2019-01-09
Pelagis Kecil,Selar,2019,9,9840,2019-01-09
jumlah,,2019,9,635550,2019-01-09
Pelagis Kecil,Tembang,2019,9,450,2019-01-09
Pelagis Besar,Tenggiri,2019,9,5430,2019-01-09
Pelagis Kecil,Tetengkek,2019,9,630,2019-01-09
Pelagis Besar,Tongkol,2019,9,54240,2019-01-09
Pelagis Besar,Tuna Sirip Kuning,2019,9,147210,2019-01-09
Pelagis Besar,Tuna Mata Besar,2019,9,9300,2019-01-09
Pelagis Kecil,Teri,2019,9,0,2019-01-09
Pelagis Kecil,Layang,2019,9,22920,2019-01-09
Demersal,Tambakan,2019,9,300,2019-01-09
Pelagis Kecil,Laosan,2019,9,10860,2019-01-09
