nama_ikan,ds,y
Ekor kuning/Pisang-pisang/sunglir/salem,2020-01-06,3056
Ekor kuning/Pisang-pisang/sunglir/salem,2020-01-07,3426
Ekor kuning/Pisang-pisang/sunglir/salem,2020-01-08,3456
Ekor kuning/Pisang-pisang/sunglir/salem,2020-01-09,3654
Ekor kuning/Pisang-pisang/sunglir/salem,2020-01-10,3201
Ekor kuning/Pisang-pisang/sunglir/salem,2020-01-11,3567
Ekor kuning/Pisang-pisang/sunglir/salem,2020-01-12,3502
Ekor kuning/Pisang-pisang/sunglir/salem,2021-01-01,10250
Ekor kuning/Pisang-pisang/sunglir/salem,2021-01-03,18250
Ekor kuning/Pisang-pisang/sunglir/salem,2021-01-04,14800
Ekor kuning/Pisang-pisang/sunglir/salem,2021-01-05,8750
Ekor kuning/Pisang-pisang/sunglir/salem,2021-01-06,6800
Ekor kuning/Pisang-pisang/sunglir/salem,2021-01-07,23875
Ekor kuning/Pisang-pisang/sunglir/salem,2021-01-08,11650
Ekor kuning/Pisang-pisang/sunglir/salem,2021-01-09,7500
Ekor kuning/Pisang-pisang/sunglir/salem,2021-01-10,13125
Ekor kuning/Pisang-pisang/sunglir/salem,2021-01-11,18625
Ekor kuning/Pisang-pisang/sunglir/salem,2021-01-12,3625
Gabus Laut,2022-01-01,12375
Gabus Laut,2022-01-02,1180
Gabus Laut,2022-01-03,19305
Gabus Laut,2022-01-04,2079
Gabus Laut,2022-01-05,34336
Gabus Laut,2022-01-06,19282
Gabus Laut,2022-01-07,16874
Gabus Laut,2022-01-08,14268
Gabus Laut,2022-01-09,14112
Gabus Laut,2022-01-10,3145
Gabus Laut,2022-01-11,1250
Gabus Laut,2022-01-12,3500
Gabus Laut,2023-01-01,246
Gabus Laut,2023-01-02,568
Gabus Laut,2023-01-04,7995
Gabus Laut,2023-01-07,1122
Gabus Laut,2023-01-08,858
Gabus Laut,2023-01-11,36975
Gabus Laut,2024-01-01,459
Gabus Laut,2024-01-02,1989
Gabus Laut,2024-01-03,592
Gabus Laut,2024-01-04,671
Gabus Laut,2024-01-05,3836
Gabus Laut,2024-01-06,2172
Gabus Laut,2024-01-07,1399
Gabus Laut,2024-01-08,1261
Gabus Laut,2024-01-09,1704
Gabus Laut,2024-01-10,1826
Gabus Laut,2024-01-11,1367
Gabus Laut,2024-01-12,1336
Gerot Gerot,2022-01-02,6313
Gerot Gerot,2022-01-04,33858
Gerot Gerot,2022-01-05,2072
Gerot Gerot,2022-01-06,16483
Gerot Gerot,2022-01-07,16107
Gerot Gerot,2022-01-08,2262
Gerot Gerot,2022-01-09,29792
Gerot Gerot,2022-01-10,4000
Gerot Gerot,2022-01-11,19780
Gerot Gerot,2022-01-12,3000
Gerot Gerot,2024-01-01,2871
